name,type,s_f,pitches
A,maj,sharp,
B,maj,sharp,
C,maj,sharp,
D,maj,sharp,
E,maj,sharp,
F,maj,sharp,
G,maj,sharp,
A,min,sharp,
B,min,sharp,
C,min,sharp,
D,min,sharp,
E,min,sharp,
F,min,sharp,
G,min,sharp,
A,maj,flat,
B,maj,flat,
C,maj,flat,
D,maj,flat,
E,maj,flat,
F,maj,flat,
G,maj,flat,
A,min,flat,
B,min,flat,
C,min,flat,
D,min,flat,
E,min,flat,
F,min,flat,
G,min,flat,
A,maj,,
B,maj,,
C,maj,,"C, D, E, F, G, A, B"
D,maj,,"D, E, F_, G, A, B, C_"
E,maj,,
F,maj,,
G,maj,,
A,min,,
B,min,,
C,min,,"C, D, E_, F, G, A_, B_"
D,min,,
E,min,,
F,min,,
G,min,,
